55
CoPt，-280.48363266369336
Pt	3.183864	-0.918010	3.580716
Pt	-0.224600	-1.786200	-4.369271
Co	1.429442	-4.279566	-0.062027
Pt	-0.666850	0.106371	0.337888
Co	0.264454	3.390729	-3.317588
Co	0.384566	-2.185228	0.166706
Co	-1.355086	4.053699	-1.325165
Co	-2.598831	0.629266	-1.249750
Pt	-5.025938	0.707016	-0.281216
Co	-4.136593	2.432095	1.612176
Pt	1.074417	0.546459	4.456159
Pt	-2.786318	-3.621013	1.629317
Pt	-4.211169	-1.313159	-1.895617
Co	1.672395	0.138157	-0.640706
Pt	0.032477	0.877935	-3.994196
Pt	-0.428229	-0.843553	-2.018399
Pt	-2.409704	-0.314863	-3.662586
Pt	-2.167987	2.347838	-3.172866
Pt	0.882668	2.094758	0.973339
Pt	-2.055686	-2.857439	-2.682675
Pt	-3.617792	-1.563921	3.295792
Pt	-0.901408	1.072311	2.770114
Pt	2.372752	-2.764378	1.758865
Pt	-2.242728	-1.858760	-0.257604
Pt	-3.330415	1.135627	3.827968
Pt	0.682418	3.092328	3.435309
Pt	1.302236	3.880284	-0.920737
Pt	-1.413470	-0.661736	4.717207
Pt	0.786381	-2.153819	3.929231
Pt	2.689523	-2.185349	-0.881307
Pt	0.599811	-3.226172	-2.226386
Pt	2.385225	4.066079	1.559760
Pt	-5.412034	0.245629	2.358397
Co	-3.769174	-3.651704	-0.828413
Pt	3.927270	0.032658	-1.669936
Pt	-3.744583	2.954873	-1.043989
Pt	-1.123783	2.008982	5.137672
Pt	-4.698039	-1.826717	0.772389
Pt	-2.047926	3.443380	3.022325
Pt	-3.060875	0.177917	1.359650
Pt	-0.073114	-3.954957	1.986560
Pt	2.877092	1.612243	2.641794
Pt	-1.182162	-1.597337	2.242387
Pt	3.669968	-0.415111	0.947775
Co	1.861870	-0.809723	-2.991609
Co	-1.106913	-4.062452	-0.430842
Co	-4.367379	1.111263	-2.737043
Pt	3.278698	2.096511	-0.081534
Pt	1.263557	-0.407920	1.975065
Pt	-1.676037	-3.296948	4.082785
Pt	-1.781995	2.472000	0.588399
Co	-2.950714	4.546639	0.852269
Pt	-0.217318	1.824767	-1.532630
Pt	2.184532	1.811888	-2.560030
Co	-0.203703	4.336736	1.292861
