55
CoPt，-280.3968844026171
Pt	0.510042	3.213964	-5.237596
Pt	1.769425	-0.027767	-2.218569
Pt	-0.090520	4.733349	-3.104661
Pt	0.879751	-1.369413	-4.279936
Pt	2.094337	1.129466	-4.579566
Pt	2.155081	2.402883	-1.057472
Co	2.303904	3.555270	-3.327626
Pt	3.999373	-0.913661	-1.129360
Pt	4.358795	1.533502	0.041824
Pt	3.044220	3.775750	0.976000
Pt	0.258809	2.108593	-2.956855
Pt	4.222153	-0.659157	1.527479
Pt	1.825974	-0.945213	2.643614
Pt	-2.102224	4.698920	0.864163
Pt	-4.213040	2.843681	-2.875480
Pt	1.888367	5.054482	-1.176265
Pt	0.609452	1.278717	3.563199
Co	3.890176	1.328765	-2.578243
Pt	-1.765604	-1.602856	-4.562217
Pt	-3.987702	2.986875	-0.184187
Pt	0.627416	4.999714	1.297770
Pt	0.541475	-4.069442	-0.403882
Pt	-4.379340	0.569466	-1.404361
Pt	-1.767729	2.055481	0.941841
Pt	4.239753	3.759548	-1.492682
Pt	-0.274828	3.605620	-0.726282
Pt	-0.877131	3.450239	2.967129
Co	-1.855358	2.946385	-4.086489
Co	-2.427801	4.466077	-1.766474
Pt	3.526294	-1.011984	-3.782687
Pt	-3.047025	0.570475	-3.785134
Pt	0.294513	-1.539833	-0.497217
Pt	-0.529804	-1.150370	3.851726
Co	-0.855074	-0.294607	-2.638290
Co	2.186538	0.128633	0.368660
Pt	-1.921754	-2.981189	-0.155255
Pt	-2.082297	0.937838	3.283263
Pt	-0.625021	-2.884833	-2.552031
Pt	-0.621835	0.764265	-5.021881
Co	-0.058583	-2.584677	1.737669
Pt	-0.583356	6.135023	-0.853879
Pt	2.085322	-2.655674	-2.148276
Co	0.865267	2.419705	1.311943
Co	2.906882	1.461549	2.237355
Pt	2.511112	-2.467713	0.539394
Co	-0.346217	-0.077628	1.636550
Pt	-3.536726	3.059021	2.474476
Pt	0.042698	1.008976	-0.576154
Pt	-2.147830	-0.347676	-0.304245
Pt	-2.125994	1.933546	-1.757006
Co	-3.887705	0.690834	1.244978
Pt	-4.279458	-1.678995	0.062984
Co	-2.978913	-1.625445	-2.273210
Co	1.683491	3.583015	3.150603
Pt	-2.468504	-1.466060	2.052580
