55
CoPt，-280.68420556111454
Pt	-0.094884	-1.042072	-5.414977
Co	2.946917	-5.266328	-1.201369
Co	3.050629	-4.670948	-3.797520
Pt	2.313918	-6.945490	0.699976
Pt	1.342954	-0.760612	0.679520
Pt	-0.434436	-2.662907	1.514546
Pt	-1.675498	-5.020463	0.986753
Pt	5.218175	-3.962085	-0.761571
Pt	-2.780616	-2.129067	-2.117168
Co	1.549019	-3.267457	0.052385
Pt	5.228880	-3.288284	-3.462689
Pt	2.081557	-2.640837	2.391031
Pt	0.572346	1.000020	-1.235979
Pt	2.602373	-5.383184	-6.282409
Pt	-2.908596	-2.709507	0.499727
Pt	-1.096934	-0.173076	-3.020723
Pt	-1.835100	-7.028015	-0.869401
Co	4.700723	-6.395190	-0.100290
Pt	-3.183724	-4.673972	-1.261462
Co	0.929040	-4.882731	1.856089
Pt	0.058217	-5.384843	-7.192457
Pt	3.361456	-7.195042	-4.398816
Pt	4.959801	-5.888350	-2.625278
Pt	0.616860	-8.239013	-1.025514
Pt	-0.906039	-7.872389	-3.307796
Co	-0.274911	-7.258104	1.201188
Pt	3.034318	-0.106897	-1.350618
Co	3.720197	-3.088262	-5.646632
Pt	3.256623	-7.803309	-1.693886
Pt	-1.675586	-6.032643	-5.209224
Pt	-1.348840	-3.411786	-6.021532
Pt	2.556225	-0.722774	-5.970506
Pt	-1.241735	-0.797791	-0.307326
Pt	3.443274	-4.540291	1.173700
Pt	-1.133796	-5.270105	-2.737370
Pt	5.387732	-1.388988	-1.532001
Co	-2.884380	-3.984282	-3.965516
Pt	1.323279	-6.498222	-2.895115
Co	-3.141805	-6.587695	-3.079701
Pt	1.561049	0.246695	-3.648273
Pt	1.560966	-8.990360	-3.448967
Co	3.909162	-0.982524	-3.673029
Pt	0.572662	-4.683974	-4.775056
Pt	5.020912	-5.263176	-5.215274
Pt	1.833133	-2.353297	-4.175055
Pt	0.796163	-1.493307	-1.787032
Pt	1.066174	-3.989047	-2.310864
Co	3.699298	-1.992974	0.460742
Pt	0.397224	-5.632337	-0.464864
Co	-0.758430	-2.718554	-3.570383
Pt	1.295593	-3.005503	-6.708304
Co	-0.937658	-3.358364	-0.887580
Pt	0.783171	-7.267230	-5.390688
Pt	3.238898	-2.705046	-1.884498
Pt	-2.640061	-1.528446	-4.702247
