0	-220.26819152699667	12.760679773
1	-220.21652406190685	23.328153512
2	-220.29759227919678	31.640523373
3	-221.2216506006751	42.333149302
4	-221.22166175947885	52.387192526
5	-221.67212411192952	64.109099975
6	-221.67212411192952	74.997712508
7	-221.67212411194132	82.825403518
8	-221.67212411200026	92.062154861
9	-221.6721241120003	103.499312127
10	-221.6721241120003	113.465217423
11	-221.6721241120003	121.478885069
12	-221.6721241120003	129.670049936
13	-221.6721241120003	136.764514497
14	-221.6721241120003	143.587853328
15	-221.6721241120003	150.990594726
16	-221.6721241120003	158.027452895
17	-221.6721241120003	167.508083198
18	-221.6721241120003	175.84256377
19	-221.6721241120003	183.35416566
20	-221.6721241120003	189.821529023
21	-221.6721241120003	197.289991443
22	-221.6721241120003	205.4501488
23	-221.6721241120003	211.900752618
24	-221.6721241120003	219.572417356
25	-221.6721241120003	228.18801267
26	-221.67212411204608	236.074821382
27	-221.67212411204608	245.182617029
28	-221.67212411204608	252.917300477
29	-221.67212411204608	260.387041566
30	-221.67212411204608	268.386496314
31	-221.67212411204608	276.080655363
32	-221.67212411204608	285.844108864
33	-221.67212411204608	293.800962979
34	-221.67212411204608	300.866017297
35	-221.67212411204608	308.583122253
36	-221.67212411204608	315.670973229
37	-221.67212411204608	324.23015743
38	-221.67212411204608	330.381113502
39	-221.67212411204608	335.772925488
40	-221.67212411204608	343.946116716
41	-221.67212411204608	352.488079939
42	-221.67212411204608	359.951254058
43	-221.67212411204608	368.535396253
44	-221.67212411204608	376.195184336
45	-221.67212411204608	383.873840698
46	-221.67212411204608	391.560147265
47	-221.67212411204608	395.498582987
48	-221.67212411204608	403.083398728
49	-221.67212411204608	411.119880566
50	-221.67212411204608	419.177793154
51	-221.67212411204608	427.685963165
52	-221.67212411204608	436.019225794
53	-221.67212411204608	443.921636405
54	-221.67212411204608	450.864264365
55	-221.67212411204608	456.737515336
56	-221.67212411204608	464.325747134
57	-221.67212411204608	473.621683318
58	-221.67212411204608	482.584715244
59	-221.67212411204608	490.492154147
60	-221.67212411204608	498.593442694
61	-221.67212411204608	506.248346604
62	-221.67212411204608	513.769246855
63	-221.67212411204608	521.627740959
64	-221.67212411204608	529.997670598
65	-221.67212411204608	538.988644649
66	-221.67212411204608	546.438565085
67	-221.67212411204608	553.412504185
68	-221.67212411204608	561.475582339
69	-221.67212411204608	569.516477083
70	-221.67212411204608	574.270614689
71	-221.67212411204608	580.943757379
72	-221.67212411204608	588.807829303
73	-221.67212411204608	595.424905992
74	-221.67212411204608	603.603875607
75	-221.67212411204608	612.363910914
76	-221.67212411204608	620.351208898
77	-221.67212411204608	628.635001148
78	-221.67212411204608	635.717863605
79	-221.67212411204608	643.075577892
80	-221.67212411204608	652.311523972
81	-221.67212411204608	659.907698058
82	-221.67212411204608	668.222323337
83	-221.67212411204608	677.415975408
84	-221.67212411204608	685.324966248
85	-221.67212411204608	692.633870873
86	-221.67212411204608	699.888915736
87	-221.67212411204608	708.333198054
88	-221.67212411204608	715.440921001
89	-221.67212411204608	723.998127755
90	-221.67212411204608	732.003627314
91	-221.67212411204608	740.453090167
92	-221.67212411204608	748.241417415
93	-221.67212411204608	756.256245272
94	-221.67212411204608	765.474786058
95	-221.67212411204608	772.811912491
96	-221.67212411204608	779.536769432
97	-221.67212411204608	784.047496353
98	-221.67212411204608	791.206927991
99	-221.67212411204608	796.93141972
100	-221.67212411204608	802.728094668
101	-221.67212411204608	810.189947352
102	-221.67212411204608	817.690352121
103	-221.67212411204608	824.037008701
104	-221.67212411204608	832.209658527
105	-221.67212411204608	839.970614988
106	-221.67212411204608	848.677012482
107	-221.67212411204608	855.949095716
108	-221.67212411204608	863.990136715
109	-221.67212411204608	871.820855904
110	-221.67212411204608	879.11289279
111	-221.67212411204608	887.747683535
112	-221.67212411204608	895.172045558
113	-221.67212411204608	902.695837141
114	-221.67212411204608	909.920730218
115	-221.67212411204608	917.693310594
116	-221.67212411204608	926.754510516
117	-221.67212411204608	935.623045379
118	-221.67212411204608	944.242244487
119	-221.67212411204784	953.030861254
120	-221.67212411204784	956.782043809
121	-221.67212411204784	962.954432769
122	-221.67212411204784	971.360125797
123	-221.67212411204784	978.926219942
124	-221.67212411204784	986.882031878
125	-221.67212411204784	994.194304663
126	-221.67212411204784	1001.233746256
127	-221.67212411204784	1010.20617704
128	-221.67212411204784	1018.391507927
129	-221.67212411204784	1025.79861134
130	-221.67212411204784	1032.376308016
131	-221.67212411204784	1040.802851902
132	-221.67212411204784	1046.663680967
133	-221.67212411204784	1054.17841581
134	-221.67212411204784	1062.036023399
135	-221.67212411204784	1069.337196567
136	-221.67212411204784	1076.997146729
137	-221.67212411204784	1085.633086138
138	-221.67212411204784	1093.308373058
139	-221.67212411204784	1100.262215245
140	-221.67212411204784	1107.478064411
141	-221.67212411204784	1115.32858116
142	-221.67212411204784	1123.265586826
143	-221.67212411204784	1130.607291663
144	-221.67212411204784	1137.491186806
145	-221.67212411204784	1146.445871032
146	-221.67212411204784	1154.232240934
147	-221.67212411204784	1161.008692383
148	-221.67212411204784	1169.536044568
149	-221.67212411204784	1176.851691499
150	-221.67212411204784	1185.065094944
151	-221.67212411204784	1192.654016111
152	-221.67212411204784	1200.794522592
153	-221.67212411204784	1208.038434909
154	-221.67212411204784	1214.733632288
155	-221.67212411204784	1221.46970816
156	-221.67212411204784	1229.456624254
157	-221.67212411204784	1236.400363672
158	-221.67212411204784	1242.868808558
159	-221.67212411204784	1251.34611646
160	-221.67212411204784	1259.471311414
161	-221.67212411204784	1268.747816533
