38
CoPt£¬-174.64005423046692
Co	-1.465216	3.203874	1.224519
Co	-4.381162	-2.708630	1.670008
Pt	0.337420	-4.213997	0.439563
Pt	-2.649077	-0.929973	1.395371
Pt	-1.643411	-4.484832	-1.276849
Co	-4.710196	0.294834	-2.360931
Co	-2.512585	-2.469706	3.323698
Pt	0.302030	-2.752064	-1.780565
Pt	-2.206798	-1.951570	-1.039802
Pt	1.509777	1.739263	-1.796939
Pt	-4.184051	-2.193990	-2.697450
Pt	-0.327483	-0.081469	-1.444706
Pt	2.227872	-2.396767	0.013163
Co	-1.763613	-2.878377	-3.346791
Co	1.646451	0.121824	0.263197
Co	-0.845163	0.841980	0.906687
Pt	-5.067433	-0.281957	2.051537
Co	-0.709785	-0.777156	3.080665
Pt	2.098038	-0.820949	-2.111850
Co	0.056610	-1.077744	-3.722923
Pt	-3.433952	3.141187	-0.438473
Pt	-5.242207	1.283073	-0.023751
Co	-2.071346	-3.476345	1.071970
Co	-4.628307	-1.221013	-0.331381
Co	-3.984184	-3.661489	-0.594761
Pt	-0.944428	2.563783	-1.186074
Co	-3.090915	-0.028399	3.678951
Pt	-0.192749	-1.661143	0.706667
Pt	-2.372561	-0.360260	-3.242989
Co	-2.916400	2.117342	-2.778951
Co	1.656343	-1.495240	2.337691
Co	-3.291765	1.571303	1.659894
Pt	0.961835	2.582658	0.622357
Co	-0.511838	1.423712	-3.445985
Pt	-2.812247	0.641935	-0.746710
Pt	-1.281858	1.676430	3.240366
Co	-0.205182	-3.169593	2.705713
Co	0.993136	0.879842	2.505570
