20
CoPt£¬-89.413629405411
Pt	-4.096349	-3.184310	7.658172
Co	-2.493909	-5.421344	10.619455
Co	-4.010963	-1.433558	9.631535
Pt	-5.525930	-7.323696	8.217986
Pt	-2.113861	-3.213777	9.370131
Co	-6.360185	-3.113686	6.627000
Co	-4.949829	-6.236716	10.458731
Co	-2.822186	-4.949899	6.102306
Pt	-3.612623	-5.537675	8.464480
Pt	-2.504653	-0.981235	7.725573
Pt	-5.258404	-5.450719	6.356065
Pt	-5.062788	-0.846734	7.208726
Pt	-6.272341	-2.269243	9.014812
Co	-3.312055	-7.782335	9.362666
Pt	-1.397270	-3.095609	6.868658
Co	-1.189257	-5.254180	8.168014
Co	-4.466376	-3.795443	10.211709
Co	-3.384364	-2.056565	5.583803
Pt	-6.224709	-4.829712	8.673827
Co	-3.484262	-7.310541	6.743236
